filename,image_path,reference_image,reference_id,distortion_id,distortion_level,dmos,variance,mdfs_raw_score,runtime_seconds,worker_gpu
I01_01_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_01_02.png,I01.png,1,1,2,4.33,0.869,18.006072998046875,0.5032412640002804,1
I01_01_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_01_04.png,I01.png,1,1,4,1.67,0.596,30.82724380493164,0.05524331800006621,1
I01_02_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_02_01.png,I01.png,1,2,1,3.83,0.86,19.1002140045166,0.0533711680000124,1
I01_02_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_02_03.png,I01.png,1,2,3,1.53,0.67,29.41982078552246,0.05112683700008347,1
I01_02_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_02_05.png,I01.png,1,2,5,1.2,0.4,32.973697662353516,0.050852574000600725,1
I01_03_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_03_02.png,I01.png,1,3,2,3.97,0.657,19.39842987060547,0.05228080699998827,1
I01_03_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_03_04.png,I01.png,1,3,4,2.03,0.795,22.404340744018555,0.038391889999729756,1
I01_04_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_04_01.png,I01.png,1,4,1,4.73,0.512,18.173479080200195,0.037662612000531226,1
I01_04_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_04_03.png,I01.png,1,4,3,1.37,0.547,25.674116134643555,0.03644413700021687,1
I01_04_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_04_05.png,I01.png,1,4,5,1.47,0.806,30.419015884399414,0.0357251740006177,1
I01_05_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_05_02.png,I01.png,1,5,2,2.2,0.909,19.424665451049805,0.039347534999251366,1
I01_05_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_05_04.png,I01.png,1,5,4,1.33,0.537,18.88426971435547,0.038620457999968494,1
I01_06_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_06_01.png,I01.png,1,6,1,4.23,0.761,20.400026321411133,0.0330982719997337,1
I01_06_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_06_03.png,I01.png,1,6,3,3.9,0.943,20.77839469909668,0.03155677599988849,1
I01_06_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_06_05.png,I01.png,1,6,5,2.27,0.929,24.66861915588379,0.03188555799988535,1
I01_07_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_07_02.png,I01.png,1,7,2,2.5,1.025,18.777095794677734,0.036536898000122164,1
I01_07_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_07_04.png,I01.png,1,7,4,2.47,1.147,21.518674850463867,0.035916150999582896,1
I01_08_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_08_01.png,I01.png,1,8,1,4.7,0.458,18.34130096435547,0.038904046999959974,1
I01_08_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_08_03.png,I01.png,1,8,3,2.73,1.062,22.26741600036621,0.035800861999632616,1
I01_08_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_08_05.png,I01.png,1,8,5,1.67,0.699,26.97159194946289,0.03443261499978689,1
I01_09_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_09_02.png,I01.png,1,9,2,4.67,0.537,19.066198348999023,0.03768184900036431,1
I01_09_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_09_04.png,I01.png,1,9,4,2.9,1.044,25.672197341918945,0.036336393999590655,1
I01_10_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_10_01.png,I01.png,1,10,1,4.37,0.657,19.7692928314209,0.03507266100041306,1
I01_10_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_10_03.png,I01.png,1,10,3,3.77,0.803,21.39043426513672,0.035303270000440534,1
I01_10_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_10_05.png,I01.png,1,10,5,1.17,0.373,31.03376007080078,0.032064533999800915,1
I01_11_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_11_02.png,I01.png,1,11,2,3.27,0.814,22.376935958862305,0.03419617100007599,1
I01_11_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_11_04.png,I01.png,1,11,4,2.27,0.772,25.538833618164062,0.03517717300019285,1
I01_12_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_12_01.png,I01.png,1,12,1,4.43,0.559,19.742145538330078,0.03503442100009124,1
I01_12_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_12_03.png,I01.png,1,12,3,2.77,0.883,22.976978302001953,0.035292855000079726,1
I01_12_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_12_05.png,I01.png,1,12,5,1.97,0.547,27.29277229309082,0.03461498200067581,1
I01_13_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_13_02.png,I01.png,1,13,2,2.87,1.087,19.384660720825195,0.03650051499971596,1
I01_13_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_13_04.png,I01.png,1,13,4,2.07,0.727,23.852916717529297,0.035894741999982216,1
I01_14_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_14_01.png,I01.png,1,14,1,4.57,0.616,18.89773178100586,0.03542111000024306,1
I01_14_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_14_03.png,I01.png,1,14,3,3.13,0.846,20.888111114501953,0.03444385999955557,1
I01_14_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_14_05.png,I01.png,1,14,5,2.27,0.68,24.071619033813477,0.035304405999340815,1
I01_15_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_15_02.png,I01.png,1,15,2,2.63,0.912,22.80103874206543,0.03534390999993775,1
I01_15_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_15_04.png,I01.png,1,15,4,1.4,0.49,25.253211975097656,0.03510447499957081,1
I01_16_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_16_01.png,I01.png,1,16,1,4.37,0.547,18.368318557739258,0.03656081400004041,1
I01_16_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_16_03.png,I01.png,1,16,3,3.94,0.504,18.430456161499023,0.03703980399950524,1
I01_16_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_16_05.png,I01.png,1,16,5,2.18,0.796,20.51348304748535,0.035595295000348415,1
I01_17_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_17_02.png,I01.png,1,17,2,4.57,0.496,18.31285858154297,0.036256082999898354,1
I01_17_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_17_04.png,I01.png,1,17,4,3.4,0.879,18.436574935913086,0.0365531600000395,1
I01_18_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_18_01.png,I01.png,1,18,1,4.5,0.5,18.621248245239258,0.036272828999244666,1
I01_18_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_18_03.png,I01.png,1,18,3,4.57,0.496,18.34130096435547,0.036537326999678044,1
I01_18_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_18_05.png,I01.png,1,18,5,3.97,0.657,19.267780303955078,0.03747094400023343,1
I01_19_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_19_02.png,I01.png,1,19,2,3.93,0.727,17.86689567565918,0.03718302600009338,1
I01_19_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_19_04.png,I01.png,1,19,4,1.53,0.562,19.707128524780273,0.033420641000702744,1
I01_20_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_20_01.png,I01.png,1,20,1,4.53,0.67,18.250097274780273,0.03633377899950574,1
I01_20_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_20_03.png,I01.png,1,20,3,4.0,0.966,18.13102912902832,0.03626387300028,1
I01_20_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_20_05.png,I01.png,1,20,5,3.23,1.542,18.101238250732422,0.03667180499996903,1
I01_21_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_21_02.png,I01.png,1,21,2,2.57,0.883,18.154998779296875,0.03493921200060868,1
I01_21_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_21_04.png,I01.png,1,21,4,2.13,0.884,18.89759635925293,0.033099227999628056,1
I01_22_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_22_01.png,I01.png,1,22,1,4.63,0.605,18.97530746459961,0.03388727800029301,1
I01_22_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_22_03.png,I01.png,1,22,3,4.0,0.931,19.299489974975586,0.033592341000257875,1
I01_22_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_22_05.png,I01.png,1,22,5,2.2,0.909,21.681121826171875,0.03184523699928832,1
I01_23_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_23_02.png,I01.png,1,23,2,2.17,0.86,18.181659698486328,0.03694061499936652,1
I01_23_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_23_04.png,I01.png,1,23,4,2.37,1.197,18.219173431396484,0.03631971999948291,1
I01_24_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_24_01.png,I01.png,1,24,1,3.57,0.92,19.150712966918945,0.03615409600024577,1
I01_24_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_24_03.png,I01.png,1,24,3,1.87,0.67,20.802257537841797,0.035523050999472616,1
I01_24_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_24_05.png,I01.png,1,24,5,1.4,0.554,24.567956924438477,0.03595773699998972,1
I01_25_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_25_02.png,I01.png,1,25,2,3.87,0.806,18.844104766845703,0.03707340999972075,1
I01_25_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_25_04.png,I01.png,1,25,4,4.17,0.582,18.356300354003906,0.0379361040004369,1
I02_01_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I02_01_01.png,I02.png,2,1,1,4.5,0.719,17.10614013671875,0.03604248300052859,1
I02_01_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I02_01_03.png,I02.png,2,1,3,2.07,0.772,20.620189666748047,0.037506673999814666,1
I02_01_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I02_01_05.png,I02.png,2,1,5,1.27,0.512,38.71295928955078,0.03568560100029572,1
I02_02_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I02_02_02.png,I02.png,2,2,2,2.27,0.854,22.36724281311035,0.036362148999614874,1
I02_02_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I02_02_04.png,I02.png,2,2,4,1.17,0.373,26.421201705932617,0.035819604000607796,1
I02_03_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I02_03_01.png,I02.png,2,3,1,4.6,0.554,17.10614013671875,0.03534154499993747,1
I02_03_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I02_03_03.png,I02.png,2,3,3,2.33,0.699,21.521713256835938,0.034677470000133326,1
I02_03_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I02_03_05.png,I02.png,2,3,5,1.2,0.4,22.676856994628906,0.036585145000572084,1
I02_04_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I02_04_02.png,I02.png,2,4,2,2.67,0.869,18.19407844543457,0.03570510300050955,1
I02_04_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I02_04_04.png,I02.png,2,4,4,1.77,0.716,19.141761779785156,0.036089510999772756,1
I02_05_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I02_05_01.png,I02.png,2,5,1,3.77,0.761,17.79616355895996,0.05024557800061302,1
