distortion_id,distortion_name,images,srocc,krocc
1,Additive Gaussian noise,125,0.8499125952366688,0.6415387082290709
2,Additive noise in color components,125,0.7380043873030286,0.5258266041091312
3,Spatially correlated noise,125,0.8150348775342802,0.61004264287537
4,Masked noise,125,0.6489920752212789,0.4899619960601107
5,High frequency noise,125,0.8874578909080434,0.6725221108129378
6,Impulse noise,125,0.7703346639257329,0.5665205814517585
7,Quantization noise,125,0.8699115806992035,0.6685605008417872
8,Gaussian blur,125,0.861402716497875,0.6539306027944615
9,Image denoising,125,0.875173389577501,0.6782003597638371
10,JPEG compression,125,0.895213927083227,0.6954109016778267
11,JPEG2000 compression,125,0.9325722396939709,0.7689925266929298
12,JPEG transmission errors,125,0.42329422392787647,0.29559831827858596
13,JPEG2000 transmission errors,125,0.5261607232161584,0.3555985987005878
14,Non-eccentricity pattern noise (NEPN),125,-0.016501858069636263,-0.012017846183601863
15,Local block-wise distortions (LBD),125,0.08894589699733749,0.06212466589226484
16,Mean shift,125,0.18119200173403724,0.12498388660000966
17,Contrast change,125,0.2840548453716226,0.18355493824984687
18,Change of color saturation,125,0.5114209962213796,0.3547179819343032
19,Multiplicative Gaussian noise,125,0.7589524910249387,0.5392113117334847
20,Comfort noise,125,0.2989179524554379,0.20905163771420626
21,Lossy compression of noisy images,125,0.8458053823929519,0.6602971033806295
22,Image color quantization with dither,125,0.8042814395324758,0.595508538167178
23,Chromatic aberrations,125,0.7176563839602871,0.5754486038803216
24,Sparse sampling and reconstruction,125,0.9196230386065299,0.7510810329723123
